filename,age,gender,dominant_gender,error
id41_1388.jpg,36.0,"{'Woman': 16.99199676513672, 'Man': 83.00800323486328}",Man,
id79_2115.jpg,26.0,"{'Woman': 12.064170092344284, 'Man': 87.93583512306213}",Man,
id78_2197.jpg,25.0,"{'Woman': 14.99929428100586, 'Man': 85.00069975852966}",Man,
id94_2527.jpg,29.0,"{'Woman': 7.108645886182785, 'Man': 92.89135932922363}",Man,
id121_3226.jpg,28.0,"{'Woman': 8.74771699309349, 'Man': 91.25228524208069}",Man,
id27_414.jpg,29.0,"{'Woman': 62.69809007644653, 'Man': 37.301912903785706}",Woman,
id64_1666.jpg,36.0,"{'Woman': 35.12944579124451, 'Man': 64.87054824829102}",Man,
id24_501.jpg,27.0,"{'Woman': 10.995402187108994, 'Man': 89.00460004806519}",Man,
id18_744.jpg,27.0,"{'Woman': 3.0225809663534164, 'Man': 96.97741866111755}",Man,
id25_401.jpg,26.0,"{'Woman': 25.575923919677734, 'Man': 74.42407608032227}",Man,
id72_1889.jpg,32.0,"{'Woman': 4.538481682538986, 'Man': 95.46151161193848}",Man,
id91_2412.jpg,31.0,"{'Woman': 20.573997497558594, 'Man': 79.4260025024414}",Man,
id41_1422.jpg,25.0,"{'Woman': 46.40620946884155, 'Man': 53.59379053115845}",Man,
id40_987.jpg,23.0,"{'Woman': 13.981480896472931, 'Man': 86.01852059364319}",Man,
id48_1249.jpg,29.0,"{'Woman': 10.603698343038559, 'Man': 89.39629793167114}",Man,
id59_1674.jpg,29.0,"{'Woman': 14.69929814338684, 'Man': 85.30069589614868}",Man,
id41_1453.jpg,30.0,"{'Woman': 93.67613792419434, 'Man': 6.323868781328201}",Woman,
id41_1015.jpg,29.0,"{'Woman': 15.895746648311615, 'Man': 84.10425782203674}",Man,
id27_527.jpg,36.0,"{'Woman': 15.12054055929184, 'Man': 84.87945795059204}",Man,
id118_3040.jpg,36.0,"{'Woman': 4.946451634168625, 'Man': 95.0535535812378}",Man,
id83_2205.jpg,34.0,"{'Woman': 6.095428392291069, 'Man': 93.90457272529602}",Man,
id43_1213.jpg,29.0,"{'Woman': 8.92108678817749, 'Man': 91.07890725135803}",Man,
id41_1081.jpg,,,,'tuple' object has no attribute 'shape'
id72_1890.jpg,33.0,"{'Woman': 2.113879472017288, 'Man': 97.88612723350525}",Man,
id18_677.jpg,30.0,"{'Woman': 10.800538212060928, 'Man': 89.19945955276489}",Man,
id60_1552.jpg,31.0,"{'Woman': 6.883321702480316, 'Man': 93.11668276786804}",Man,
id85_2169.jpg,28.0,"{'Woman': 4.326694086194038, 'Man': 95.67331075668335}",Man,
id21_322.jpg,28.0,"{'Woman': 5.718998983502388, 'Man': 94.281005859375}",Man,
id45_1075.jpg,,,,'tuple' object has no attribute 'shape'
id11_206.jpg,25.0,"{'Woman': 5.754484981298447, 'Man': 94.24551725387573}",Man,
id121_3273.jpg,26.0,"{'Woman': 4.0143560618162155, 'Man': 95.98564505577087}",Man,
